gene	disease
uniprotkb:Q9H3J6	Hereditary spastic paraplegia
uniprotkb:A0A1B0GVV2	Epilepsy
uniprotkb:A0A1B0GVC4	Epilepsy
uniprotkb:A0A1B0GWI5	Epilepsy
uniprotkb:A0A1B0GV84	Epilepsy
uniprotkb:O43307	Epilepsy
uniprotkb:A0A096LP05	Epilepsy
uniprotkb:A0A096LNQ4	Epilepsy
uniprotkb:A0A5F9ZHY9	Epilepsy
uniprotkb:A0A1B0GVX8	Epilepsy
uniprotkb:A0A5F9ZGZ3	Epilepsy
uniprotkb:B1AMR4	Epilepsy
uniprotkb:B1AMR3	Epilepsy
uniprotkb:A0A096LPI8	Epilepsy
uniprotkb:A0A1B0GV82	Epilepsy
uniprotkb:A0A0A6YYB3	Epilepsy
uniprotkb:A0A1W2PQW9	Epilepsy
uniprotkb:A0A096LNK4	Epilepsy
uniprotkb:A0A5F9ZI31	Epilepsy
uniprotkb:A0A096LPE7	Epilepsy
uniprotkb:A0A0A6YYF8	Epilepsy
uniprotkb:C9J8H1	Cutis laxa
uniprotkb:P36543	Cutis laxa
uniprotkb:Q53Y06	Cutis laxa
uniprotkb:O75027	Schizophrenia
uniprotkb:A0A5F9ZA98	Schizophrenia
uniprotkb:A0A2R8Y473	Schizophrenia
uniprotkb:E9PJR8	Schizophrenia
uniprotkb:B4DGL8	Schizophrenia
uniprotkb:A0A0S2Z2Z3	Schizophrenia
uniprotkb:A0A2R8YF35	Schizophrenia
uniprotkb:A0A590UJS8	Schizophrenia
uniprotkb:E9PNQ5	Schizophrenia
uniprotkb:A0A087WW65	Schizophrenia
uniprotkb:P35575	Glycogen storage disease
uniprotkb:K7ELS6	Glycogen storage disease
uniprotkb:J3QRM2	Cancer
uniprotkb:Q6I9R7	Cancer
uniprotkb:P10276	Cancer
uniprotkb:F1D8N9	Cancer
uniprotkb:A8MUP8	Cancer
uniprotkb:J3KSJ4	Cancer
uniprotkb:P35637	Neurodegenerative disease
uniprotkb:Q6IBQ5	Neurodegenerative disease
uniprotkb:H3BNZ4	Neurodegenerative disease
uniprotkb:H3BPE7	Neurodegenerative disease
uniprotkb:P35637	Cancer
uniprotkb:Q6IBQ5	Cancer
uniprotkb:H3BNZ4	Cancer
uniprotkb:H3BPE7	Cancer
uniprotkb:P35637	Amyotrophic lateral sclerosis
uniprotkb:Q6IBQ5	Amyotrophic lateral sclerosis
uniprotkb:H3BNZ4	Amyotrophic lateral sclerosis
uniprotkb:H3BPE7	Amyotrophic lateral sclerosis
uniprotkb:P35637	Amyotrophic lateral sclerosis
uniprotkb:Q6IBQ5	Amyotrophic lateral sclerosis
uniprotkb:H3BNZ4	Amyotrophic lateral sclerosis
uniprotkb:H3BPE7	Amyotrophic lateral sclerosis
uniprotkb:Q15466	Obesity
uniprotkb:Q9NVV9	Dystonia
uniprotkb:E9PIS9	Dystonia
uniprotkb:A0A0J9YXW2	Osteogenesis imperfecta
uniprotkb:A0A0J9YXF9	Osteogenesis imperfecta
uniprotkb:I3L4N7	Osteogenesis imperfecta
uniprotkb:P36955	Osteogenesis imperfecta
uniprotkb:I3L107	Osteogenesis imperfecta
uniprotkb:I3L4F9	Osteogenesis imperfecta
uniprotkb:I3L1U4	Osteogenesis imperfecta
uniprotkb:I3L2R7	Osteogenesis imperfecta
uniprotkb:I3L4Z0	Osteogenesis imperfecta
uniprotkb:I3L425	Osteogenesis imperfecta
uniprotkb:I3L3Z3	Osteogenesis imperfecta
uniprotkb:A0A0J9YXW2	Osteogenesis imperfecta
uniprotkb:A0A0J9YXF9	Osteogenesis imperfecta
uniprotkb:I3L4N7	Osteogenesis imperfecta
uniprotkb:P36955	Osteogenesis imperfecta
uniprotkb:I3L107	Osteogenesis imperfecta
uniprotkb:I3L4F9	Osteogenesis imperfecta
uniprotkb:I3L1U4	Osteogenesis imperfecta
uniprotkb:I3L2R7	Osteogenesis imperfecta
uniprotkb:I3L4Z0	Osteogenesis imperfecta
uniprotkb:I3L425	Osteogenesis imperfecta
uniprotkb:I3L3Z3	Osteogenesis imperfecta
uniprotkb:Q5T554	limb-girdle muscular dystrophy
uniprotkb:Q9HBV1	limb-girdle muscular dystrophy
uniprotkb:Q02846	Congenital stationary night blindness
uniprotkb:Q02846	cone-rod dystrophy
uniprotkb:Q02846	cone-rod dystrophy
uniprotkb:Q02846	Leber congenital amaurosis
uniprotkb:Q02846	Leber congenital amaurosis
uniprotkb:Q9UN37	Congenital dyserythropoietic anemia
uniprotkb:A0A024R705	Congenital dyserythropoietic anemia
uniprotkb:Q9UN37	Congenital hemolytic anemia
uniprotkb:A0A024R705	Congenital hemolytic anemia
uniprotkb:Q9UN37	Cataract
uniprotkb:A0A024R705	Cataract
uniprotkb:P78504	Charcot-Marie-Tooth disease
uniprotkb:P78504	Neurodegenerative disease
uniprotkb:P78504	Neuropathy
uniprotkb:P60880	Congenital myasthenic syndrome
uniprotkb:A0A0A0MSS0	Congenital myasthenic syndrome
uniprotkb:P02741	Systemic lupus erythematosus
uniprotkb:Q5VVP7	Systemic lupus erythematosus
uniprotkb:C9JRE9	Systemic lupus erythematosus
uniprotkb:P02743	Apolipoprotein A-I associated Amyloidosis
uniprotkb:V9HWP0	Apolipoprotein A-I associated Amyloidosis
uniprotkb:P02743	Primary cutaneous amyloidosis
uniprotkb:V9HWP0	Primary cutaneous amyloidosis
uniprotkb:P02743	ITM2B-related cerebral amyloid angiopathy 1
uniprotkb:V9HWP0	ITM2B-related cerebral amyloid angiopathy 1
uniprotkb:P02743	ITM2B-related cerebral amyloid angiopathy 2
uniprotkb:V9HWP0	ITM2B-related cerebral amyloid angiopathy 2
uniprotkb:P02743	Alzheimer's disease
uniprotkb:V9HWP0	Alzheimer's disease
uniprotkb:P38935	Charcot-Marie-Tooth disease
uniprotkb:H3BRR1	Charcot-Marie-Tooth disease
uniprotkb:A0A6Q8PGX2	Charcot-Marie-Tooth disease
uniprotkb:A0A6Q8PGQ6	Charcot-Marie-Tooth disease
uniprotkb:A0A6Q8PHG1	Charcot-Marie-Tooth disease
uniprotkb:A0A6Q8PGT6	Charcot-Marie-Tooth disease
uniprotkb:A0A6Q8PGQ2	Charcot-Marie-Tooth disease
uniprotkb:A0A6Q8PHH4	Charcot-Marie-Tooth disease
uniprotkb:A0A6Q8PFK9	Charcot-Marie-Tooth disease
uniprotkb:A0A6Q8PGC0	Charcot-Marie-Tooth disease
uniprotkb:P38935	Charcot-Marie-Tooth disease
uniprotkb:H3BRR1	Charcot-Marie-Tooth disease
uniprotkb:A0A6Q8PGX2	Charcot-Marie-Tooth disease
uniprotkb:A0A6Q8PGQ6	Charcot-Marie-Tooth disease
uniprotkb:A0A6Q8PHG1	Charcot-Marie-Tooth disease
uniprotkb:A0A6Q8PGT6	Charcot-Marie-Tooth disease
uniprotkb:A0A6Q8PGQ2	Charcot-Marie-Tooth disease
uniprotkb:A0A6Q8PHH4	Charcot-Marie-Tooth disease
uniprotkb:A0A6Q8PFK9	Charcot-Marie-Tooth disease
uniprotkb:A0A6Q8PGC0	Charcot-Marie-Tooth disease
uniprotkb:P38935	Neurodegenerative disease
uniprotkb:H3BRR1	Neurodegenerative disease
uniprotkb:A0A6Q8PGX2	Neurodegenerative disease
uniprotkb:A0A6Q8PGQ6	Neurodegenerative disease
uniprotkb:A0A6Q8PHG1	Neurodegenerative disease
uniprotkb:A0A6Q8PGT6	Neurodegenerative disease
uniprotkb:A0A6Q8PGQ2	Neurodegenerative disease
uniprotkb:A0A6Q8PHH4	Neurodegenerative disease
uniprotkb:A0A6Q8PFK9	Neurodegenerative disease
uniprotkb:A0A6Q8PGC0	Neurodegenerative disease
uniprotkb:P38935	Neuropathy
uniprotkb:H3BRR1	Neuropathy
uniprotkb:A0A6Q8PGX2	Neuropathy
uniprotkb:A0A6Q8PGQ6	Neuropathy
uniprotkb:A0A6Q8PHG1	Neuropathy
uniprotkb:A0A6Q8PGT6	Neuropathy
uniprotkb:A0A6Q8PGQ2	Neuropathy
uniprotkb:A0A6Q8PHH4	Neuropathy
uniprotkb:A0A6Q8PFK9	Neuropathy
uniprotkb:A0A6Q8PGC0	Neuropathy
uniprotkb:E9PLL2	Hypotrichosis
uniprotkb:Q9BQC3	Hypotrichosis
uniprotkb:E9PMH7	Hypotrichosis
uniprotkb:E9PJH6	Hypotrichosis
uniprotkb:E9PIY4	Hypotrichosis
uniprotkb:H0YCR5	Hypotrichosis
uniprotkb:E9PPU3	Hypotrichosis
uniprotkb:A0A8Q3WKF8	Hermansky-Pudlak syndrome
uniprotkb:A0A0S2Z4Z4	Hermansky-Pudlak syndrome
uniprotkb:O00203	Hermansky-Pudlak syndrome
uniprotkb:A0A8Q3WKK0	Hermansky-Pudlak syndrome
uniprotkb:A0A8Q3SHR2	Hermansky-Pudlak syndrome
uniprotkb:A0A8Q3WL34	Hermansky-Pudlak syndrome
uniprotkb:A0A8Q3SHU2	Hermansky-Pudlak syndrome
uniprotkb:A0A8Q3SHV5	Hermansky-Pudlak syndrome
uniprotkb:A0A8Q3WKN2	Hermansky-Pudlak syndrome
uniprotkb:A0A8Q3SHW6	Hermansky-Pudlak syndrome
uniprotkb:A0A8Q3SHX0	Hermansky-Pudlak syndrome
uniprotkb:A0A8Q3WKJ9	Hermansky-Pudlak syndrome
uniprotkb:A0A8Q3SHS6	Hermansky-Pudlak syndrome
uniprotkb:A0A8Q3SIS1	Hermansky-Pudlak syndrome
uniprotkb:A0A8Q3WKI5	Hermansky-Pudlak syndrome
uniprotkb:A0A8Q3SIM7	Hermansky-Pudlak syndrome
uniprotkb:A0A8Q3SHS3	Hermansky-Pudlak syndrome
uniprotkb:A0A0S2Z5J4	Hermansky-Pudlak syndrome
uniprotkb:A0A8Q3SI03	Hermansky-Pudlak syndrome
uniprotkb:A0A8Q3SHP3	Hermansky-Pudlak syndrome
uniprotkb:A0A8Q3WKF8	Hermansky-Pudlak syndrome
uniprotkb:A0A0S2Z4Z4	Hermansky-Pudlak syndrome
uniprotkb:O00203	Hermansky-Pudlak syndrome
uniprotkb:A0A8Q3WKK0	Hermansky-Pudlak syndrome
uniprotkb:A0A8Q3SHR2	Hermansky-Pudlak syndrome
uniprotkb:A0A8Q3WL34	Hermansky-Pudlak syndrome
uniprotkb:A0A8Q3SHU2	Hermansky-Pudlak syndrome
uniprotkb:A0A8Q3SHV5	Hermansky-Pudlak syndrome
uniprotkb:A0A8Q3WKN2	Hermansky-Pudlak syndrome
uniprotkb:A0A8Q3SHW6	Hermansky-Pudlak syndrome
uniprotkb:A0A8Q3SHX0	Hermansky-Pudlak syndrome
uniprotkb:A0A8Q3WKJ9	Hermansky-Pudlak syndrome
uniprotkb:A0A8Q3SHS6	Hermansky-Pudlak syndrome
uniprotkb:A0A8Q3SIS1	Hermansky-Pudlak syndrome
uniprotkb:A0A8Q3WKI5	Hermansky-Pudlak syndrome
uniprotkb:A0A8Q3SIM7	Hermansky-Pudlak syndrome
uniprotkb:A0A8Q3SHS3	Hermansky-Pudlak syndrome
uniprotkb:A0A0S2Z5J4	Hermansky-Pudlak syndrome
uniprotkb:A0A8Q3SI03	Hermansky-Pudlak syndrome
uniprotkb:A0A8Q3SHP3	Hermansky-Pudlak syndrome
uniprotkb:P16499	Retinitis pigmentosa
uniprotkb:F1T0K3	Retinitis pigmentosa
uniprotkb:P16499	Retinitis pigmentosa
uniprotkb:F1T0K3	Retinitis pigmentosa
uniprotkb:O75880	cytochrome-c oxidase deficiency disease
uniprotkb:J3QL56	cytochrome-c oxidase deficiency disease
uniprotkb:J3QR42	cytochrome-c oxidase deficiency disease
uniprotkb:P36222	Asthma
uniprotkb:A0A024R969	Asthma
uniprotkb:O00287	Severe combined immunodeficiency
uniprotkb:Q9H6E4	Osteogenesis imperfecta
uniprotkb:B0QY51	Osteogenesis imperfecta
uniprotkb:P42356	Neurodegenerative disease
uniprotkb:A8MTF1	Neurodegenerative disease
uniprotkb:C9JLI1	Neurodegenerative disease
uniprotkb:P42356	Hereditary spastic paraplegia
uniprotkb:A8MTF1	Hereditary spastic paraplegia
uniprotkb:C9JLI1	Hereditary spastic paraplegia
uniprotkb:P62324	Cancer
uniprotkb:Q6IBC8	Cancer
uniprotkb:A0A8I5KUB5	Cardiomyopathy
uniprotkb:P01116	Cardiomyopathy
uniprotkb:L7RSL8	Cardiomyopathy
uniprotkb:G3V4K2	Cardiomyopathy
uniprotkb:A0A8I5KXN3	Cardiomyopathy
uniprotkb:A0A8I5KR86	Cardiomyopathy
uniprotkb:G3V5T7	Cardiomyopathy
uniprotkb:A0A8I5KQU3	Cardiomyopathy
uniprotkb:A0A8I5KQ21	Cardiomyopathy
uniprotkb:A0A024RAV5	Cardiomyopathy
uniprotkb:A0A8I5KUB5	Core binding factor acute myeloid leukemia
uniprotkb:P01116	Core binding factor acute myeloid leukemia
uniprotkb:L7RSL8	Core binding factor acute myeloid leukemia
uniprotkb:G3V4K2	Core binding factor acute myeloid leukemia
uniprotkb:A0A8I5KXN3	Core binding factor acute myeloid leukemia
uniprotkb:A0A8I5KR86	Core binding factor acute myeloid leukemia
uniprotkb:G3V5T7	Core binding factor acute myeloid leukemia
uniprotkb:A0A8I5KQU3	Core binding factor acute myeloid leukemia
uniprotkb:A0A8I5KQ21	Core binding factor acute myeloid leukemia
uniprotkb:A0A024RAV5	Core binding factor acute myeloid leukemia
uniprotkb:A0A8I5KUB5	Lung cancer
uniprotkb:P01116	Lung cancer
uniprotkb:L7RSL8	Lung cancer
uniprotkb:G3V4K2	Lung cancer
uniprotkb:A0A8I5KXN3	Lung cancer
uniprotkb:A0A8I5KR86	Lung cancer
uniprotkb:G3V5T7	Lung cancer
uniprotkb:A0A8I5KQU3	Lung cancer
uniprotkb:A0A8I5KQ21	Lung cancer
uniprotkb:A0A024RAV5	Lung cancer
uniprotkb:A0A8I5KUB5	Cancer
uniprotkb:P01116	Cancer
uniprotkb:L7RSL8	Cancer
uniprotkb:G3V4K2	Cancer
uniprotkb:A0A8I5KXN3	Cancer
uniprotkb:A0A8I5KR86	Cancer
uniprotkb:G3V5T7	Cancer
uniprotkb:A0A8I5KQU3	Cancer
uniprotkb:A0A8I5KQ21	Cancer
uniprotkb:A0A024RAV5	Cancer
uniprotkb:A0A8I5KUB5	Noonan syndrome
uniprotkb:P01116	Noonan syndrome
uniprotkb:L7RSL8	Noonan syndrome
uniprotkb:G3V4K2	Noonan syndrome
uniprotkb:A0A8I5KXN3	Noonan syndrome
uniprotkb:A0A8I5KR86	Noonan syndrome
uniprotkb:G3V5T7	Noonan syndrome
uniprotkb:A0A8I5KQU3	Noonan syndrome
uniprotkb:A0A8I5KQ21	Noonan syndrome
uniprotkb:A0A024RAV5	Noonan syndrome
uniprotkb:A0A8I5KUB5	Cholangiocarcinoma
uniprotkb:P01116	Cholangiocarcinoma
uniprotkb:L7RSL8	Cholangiocarcinoma
uniprotkb:G3V4K2	Cholangiocarcinoma
uniprotkb:A0A8I5KXN3	Cholangiocarcinoma
uniprotkb:A0A8I5KR86	Cholangiocarcinoma
uniprotkb:G3V5T7	Cholangiocarcinoma
uniprotkb:A0A8I5KQU3	Cholangiocarcinoma
uniprotkb:A0A8I5KQ21	Cholangiocarcinoma
uniprotkb:A0A024RAV5	Cholangiocarcinoma
uniprotkb:F5H244	Aortic aneurysm
uniprotkb:O15397	Aortic aneurysm
uniprotkb:F5H815	Aortic aneurysm
uniprotkb:F5H292	Aortic aneurysm
uniprotkb:F5H009	Aortic aneurysm
uniprotkb:F5H2I3	Aortic aneurysm
uniprotkb:F5GXT5	Aortic aneurysm
uniprotkb:P02689	Charcot-Marie-Tooth disease
uniprotkb:E5RH45	Charcot-Marie-Tooth disease
uniprotkb:P02689	Neurodegenerative disease
uniprotkb:E5RH45	Neurodegenerative disease
uniprotkb:P02689	Neuropathy
uniprotkb:E5RH45	Neuropathy
uniprotkb:A0A8I5KNS4	Charcot-Marie-Tooth disease
uniprotkb:A0A8I5KY55	Charcot-Marie-Tooth disease
uniprotkb:A0A8I5KT45	Charcot-Marie-Tooth disease
uniprotkb:A0A8I5KT92	Charcot-Marie-Tooth disease
uniprotkb:A0A6Q8PH87	Charcot-Marie-Tooth disease
uniprotkb:A0A6Q8PH13	Charcot-Marie-Tooth disease
uniprotkb:A0A8I5KQC6	Charcot-Marie-Tooth disease
uniprotkb:Q86WG5	Charcot-Marie-Tooth disease
uniprotkb:A0A8I5KTX3	Charcot-Marie-Tooth disease
uniprotkb:A0A8I5QJN8	Charcot-Marie-Tooth disease
uniprotkb:A0A8I5KUI9	Charcot-Marie-Tooth disease
uniprotkb:H0Y767	Charcot-Marie-Tooth disease
uniprotkb:A0A8I5QKS9	Charcot-Marie-Tooth disease
uniprotkb:A0A8I5KWY5	Charcot-Marie-Tooth disease
uniprotkb:A0A8I5KSD8	Charcot-Marie-Tooth disease
uniprotkb:H0YD05	Charcot-Marie-Tooth disease
uniprotkb:A0A8I5KRP8	Charcot-Marie-Tooth disease
uniprotkb:A0A8I5KRQ5	Charcot-Marie-Tooth disease
uniprotkb:A0A8I5KWJ6	Charcot-Marie-Tooth disease
uniprotkb:A0A8I5KXJ7	Charcot-Marie-Tooth disease
uniprotkb:A0A8I5KWU9	Charcot-Marie-Tooth disease
uniprotkb:A0A8I5KVJ0	Charcot-Marie-Tooth disease
uniprotkb:A0A8I5KTA9	Charcot-Marie-Tooth disease
uniprotkb:A0A6Q8PHP8	Charcot-Marie-Tooth disease
uniprotkb:A0A8I5KUN8	Charcot-Marie-Tooth disease
uniprotkb:A0A8I5KQ02	Charcot-Marie-Tooth disease
uniprotkb:A0A8I5KNS4	Charcot-Marie-Tooth disease
uniprotkb:A0A8I5KY55	Charcot-Marie-Tooth disease
uniprotkb:A0A8I5KT45	Charcot-Marie-Tooth disease
uniprotkb:A0A8I5KT92	Charcot-Marie-Tooth disease
uniprotkb:A0A6Q8PH87	Charcot-Marie-Tooth disease
uniprotkb:A0A6Q8PH13	Charcot-Marie-Tooth disease
uniprotkb:A0A8I5KQC6	Charcot-Marie-Tooth disease
uniprotkb:Q86WG5	Charcot-Marie-Tooth disease
uniprotkb:A0A8I5KTX3	Charcot-Marie-Tooth disease
uniprotkb:A0A8I5QJN8	Charcot-Marie-Tooth disease
uniprotkb:A0A8I5KUI9	Charcot-Marie-Tooth disease
uniprotkb:H0Y767	Charcot-Marie-Tooth disease
uniprotkb:A0A8I5QKS9	Charcot-Marie-Tooth disease
uniprotkb:A0A8I5KWY5	Charcot-Marie-Tooth disease
uniprotkb:A0A8I5KSD8	Charcot-Marie-Tooth disease
uniprotkb:H0YD05	Charcot-Marie-Tooth disease
uniprotkb:A0A8I5KRP8	Charcot-Marie-Tooth disease
uniprotkb:A0A8I5KRQ5	Charcot-Marie-Tooth disease
uniprotkb:A0A8I5KWJ6	Charcot-Marie-Tooth disease
uniprotkb:A0A8I5KXJ7	Charcot-Marie-Tooth disease
uniprotkb:A0A8I5KWU9	Charcot-Marie-Tooth disease
uniprotkb:A0A8I5KVJ0	Charcot-Marie-Tooth disease
uniprotkb:A0A8I5KTA9	Charcot-Marie-Tooth disease
uniprotkb:A0A6Q8PHP8	Charcot-Marie-Tooth disease
uniprotkb:A0A8I5KUN8	Charcot-Marie-Tooth disease
uniprotkb:A0A8I5KQ02	Charcot-Marie-Tooth disease
uniprotkb:A0A8I5KNS4	Neurodegenerative disease
uniprotkb:A0A8I5KY55	Neurodegenerative disease
uniprotkb:A0A8I5KT45	Neurodegenerative disease
uniprotkb:A0A8I5KT92	Neurodegenerative disease
uniprotkb:A0A6Q8PH87	Neurodegenerative disease
uniprotkb:A0A6Q8PH13	Neurodegenerative disease
uniprotkb:A0A8I5KQC6	Neurodegenerative disease
uniprotkb:Q86WG5	Neurodegenerative disease
uniprotkb:A0A8I5KTX3	Neurodegenerative disease
uniprotkb:A0A8I5QJN8	Neurodegenerative disease
uniprotkb:A0A8I5KUI9	Neurodegenerative disease
uniprotkb:H0Y767	Neurodegenerative disease
uniprotkb:A0A8I5QKS9	Neurodegenerative disease
uniprotkb:A0A8I5KWY5	Neurodegenerative disease
uniprotkb:A0A8I5KSD8	Neurodegenerative disease
uniprotkb:H0YD05	Neurodegenerative disease
uniprotkb:A0A8I5KRP8	Neurodegenerative disease
uniprotkb:A0A8I5KRQ5	Neurodegenerative disease
uniprotkb:A0A8I5KWJ6	Neurodegenerative disease
uniprotkb:A0A8I5KXJ7	Neurodegenerative disease
uniprotkb:A0A8I5KWU9	Neurodegenerative disease
uniprotkb:A0A8I5KVJ0	Neurodegenerative disease
uniprotkb:A0A8I5KTA9	Neurodegenerative disease
uniprotkb:A0A6Q8PHP8	Neurodegenerative disease
uniprotkb:A0A8I5KUN8	Neurodegenerative disease
uniprotkb:A0A8I5KQ02	Neurodegenerative disease
uniprotkb:A0A8I5KNS4	Neuropathy
uniprotkb:A0A8I5KY55	Neuropathy
uniprotkb:A0A8I5KT45	Neuropathy
uniprotkb:A0A8I5KT92	Neuropathy
uniprotkb:A0A6Q8PH87	Neuropathy
uniprotkb:A0A6Q8PH13	Neuropathy
uniprotkb:A0A8I5KQC6	Neuropathy
uniprotkb:Q86WG5	Neuropathy
uniprotkb:A0A8I5KTX3	Neuropathy
uniprotkb:A0A8I5QJN8	Neuropathy
uniprotkb:A0A8I5KUI9	Neuropathy
uniprotkb:H0Y767	Neuropathy
uniprotkb:A0A8I5QKS9	Neuropathy
uniprotkb:A0A8I5KWY5	Neuropathy
uniprotkb:A0A8I5KSD8	Neuropathy
uniprotkb:H0YD05	Neuropathy
uniprotkb:A0A8I5KRP8	Neuropathy
uniprotkb:A0A8I5KRQ5	Neuropathy
uniprotkb:A0A8I5KWJ6	Neuropathy
uniprotkb:A0A8I5KXJ7	Neuropathy
uniprotkb:A0A8I5KWU9	Neuropathy
uniprotkb:A0A8I5KVJ0	Neuropathy
uniprotkb:A0A8I5KTA9	Neuropathy
uniprotkb:A0A6Q8PHP8	Neuropathy
uniprotkb:A0A8I5KUN8	Neuropathy
uniprotkb:A0A8I5KQ02	Neuropathy
uniprotkb:P62070	Cancer
uniprotkb:E9PQC5	Cancer
uniprotkb:E9PQ87	Cancer
uniprotkb:E9PQK5	Cancer
uniprotkb:E9PK85	Cancer
uniprotkb:E5RHR2	Neurodegenerative disease
uniprotkb:E5RHY2	Neurodegenerative disease
uniprotkb:E5RIZ7	Neurodegenerative disease
uniprotkb:E5RIU1	Neurodegenerative disease
uniprotkb:Q9H9T3	Neurodegenerative disease
uniprotkb:E5RG26	Neurodegenerative disease
uniprotkb:B4DKA4	Neurodegenerative disease
uniprotkb:H0YAP7	Neurodegenerative disease
uniprotkb:E5RIC0	Neurodegenerative disease
uniprotkb:H0YC54	Neurodegenerative disease
uniprotkb:E5RHR2	Amyotrophic lateral sclerosis
uniprotkb:E5RHY2	Amyotrophic lateral sclerosis
uniprotkb:E5RIZ7	Amyotrophic lateral sclerosis
uniprotkb:E5RIU1	Amyotrophic lateral sclerosis
uniprotkb:Q9H9T3	Amyotrophic lateral sclerosis
uniprotkb:E5RG26	Amyotrophic lateral sclerosis
uniprotkb:B4DKA4	Amyotrophic lateral sclerosis
uniprotkb:H0YAP7	Amyotrophic lateral sclerosis
uniprotkb:E5RIC0	Amyotrophic lateral sclerosis
uniprotkb:H0YC54	Amyotrophic lateral sclerosis
uniprotkb:Q9Y5U9	Epilepsy
uniprotkb:A0A1W2PNR9	Epilepsy
uniprotkb:Q9Y5U9	Diabetes mellitus
uniprotkb:A0A1W2PNR9	Diabetes mellitus
uniprotkb:A0A0S2Z4K1	Primary polycythemia
uniprotkb:P40337	Primary polycythemia
uniprotkb:A0A8Q3WL21	Primary polycythemia
uniprotkb:A0A024R2F2	Primary polycythemia
uniprotkb:A0A8Q3SIA6	Primary polycythemia
uniprotkb:A0A0S2Z4K1	Primary polycythemia
uniprotkb:P40337	Primary polycythemia
uniprotkb:A0A8Q3WL21	Primary polycythemia
uniprotkb:A0A024R2F2	Primary polycythemia
uniprotkb:A0A8Q3SIA6	Primary polycythemia
uniprotkb:A0A0S2Z4K1	Cancer
uniprotkb:P40337	Cancer
uniprotkb:A0A8Q3WL21	Cancer
uniprotkb:A0A024R2F2	Cancer
uniprotkb:A0A8Q3SIA6	Cancer
uniprotkb:A0A590UJX5	Pontocerebellar hypoplasia
uniprotkb:A0A7P0T999	Pontocerebellar hypoplasia
uniprotkb:H0YE32	Pontocerebellar hypoplasia
uniprotkb:A0A590UJY6	Pontocerebellar hypoplasia
uniprotkb:A0A5F9UK94	Pontocerebellar hypoplasia
uniprotkb:A0A7P0Z4H6	Pontocerebellar hypoplasia
uniprotkb:A0A7P0TB79	Pontocerebellar hypoplasia
uniprotkb:H0Y360	Pontocerebellar hypoplasia
uniprotkb:A0A804H2H4	Pontocerebellar hypoplasia
uniprotkb:A0A590UJD1	Pontocerebellar hypoplasia
uniprotkb:A0A804CCZ3	Pontocerebellar hypoplasia
uniprotkb:A0A590UK85	Pontocerebellar hypoplasia
uniprotkb:H0YF16	Pontocerebellar hypoplasia
uniprotkb:A0A590UJX5	Neurodegenerative disease
uniprotkb:A0A7P0T999	Neurodegenerative disease
uniprotkb:H0YE32	Neurodegenerative disease
uniprotkb:A0A590UJY6	Neurodegenerative disease
uniprotkb:A0A5F9UK94	Neurodegenerative disease
uniprotkb:A0A7P0Z4H6	Neurodegenerative disease
uniprotkb:A0A7P0TB79	Neurodegenerative disease
uniprotkb:H0Y360	Neurodegenerative disease
uniprotkb:A0A804H2H4	Neurodegenerative disease
uniprotkb:A0A590UJD1	Neurodegenerative disease
uniprotkb:A0A804CCZ3	Neurodegenerative disease
uniprotkb:A0A590UK85	Neurodegenerative disease
uniprotkb:H0YF16	Neurodegenerative disease
uniprotkb:A0A590UJX5	Hereditary spastic paraplegia
uniprotkb:A0A7P0T999	Hereditary spastic paraplegia
uniprotkb:H0YE32	Hereditary spastic paraplegia
uniprotkb:A0A590UJY6	Hereditary spastic paraplegia
uniprotkb:A0A5F9UK94	Hereditary spastic paraplegia
uniprotkb:A0A7P0Z4H6	Hereditary spastic paraplegia
uniprotkb:A0A7P0TB79	Hereditary spastic paraplegia
uniprotkb:H0Y360	Hereditary spastic paraplegia
uniprotkb:A0A804H2H4	Hereditary spastic paraplegia
uniprotkb:A0A590UJD1	Hereditary spastic paraplegia
uniprotkb:A0A804CCZ3	Hereditary spastic paraplegia
uniprotkb:A0A590UK85	Hereditary spastic paraplegia
uniprotkb:H0YF16	Hereditary spastic paraplegia
uniprotkb:P01222	Congenital hypothyroidism
uniprotkb:P01222	Congenital hypothyroidism
uniprotkb:E9PH70	Neurodegenerative disease
uniprotkb:A0A8I5KQK7	Neurodegenerative disease
uniprotkb:Q9ULH0	Neurodegenerative disease
uniprotkb:F8WAY8	Neurodegenerative disease
uniprotkb:A0A8I5QL22	Neurodegenerative disease
uniprotkb:A0A8I5KPM9	Neurodegenerative disease
uniprotkb:H7C584	Neurodegenerative disease
uniprotkb:A0A8I5QJC0	Neurodegenerative disease
uniprotkb:A0A8I5KZ42	Neurodegenerative disease
uniprotkb:H0Y8E4	Neurodegenerative disease
uniprotkb:A0A8I5KX08	Neurodegenerative disease
uniprotkb:A0A8I5KTL1	Neurodegenerative disease
uniprotkb:A0A8I5KTG3	Neurodegenerative disease
uniprotkb:A0A1W2PPB7	Neurodegenerative disease
uniprotkb:A0A8I5KT58	Neurodegenerative disease
uniprotkb:E9PH70	Hereditary spastic paraplegia
uniprotkb:A0A8I5KQK7	Hereditary spastic paraplegia
uniprotkb:Q9ULH0	Hereditary spastic paraplegia
uniprotkb:F8WAY8	Hereditary spastic paraplegia
uniprotkb:A0A8I5QL22	Hereditary spastic paraplegia
uniprotkb:A0A8I5KPM9	Hereditary spastic paraplegia
